date,day_month,moon,zodiac_astrology,p1,front3,back3,back2
30 ธันวาคม 2568,วันอังคาร เดือนธันวาคม,ขึ้น 11 ค่ำ เดือน 2,ปีระกา / ราศีธนู,625520,"351, 882","146, 858",80
16 ธันวาคม 2568,วันอังคาร เดือนธันวาคม,แรม 12 ค่ำ เดือน 1,ปีระกา / ราศีธนู,435116,"321, 608","530, 241",47
1 ธันวาคม 2568,วันจันทร์ เดือนธันวาคม,แรม 12 ค่ำ เดือน 12,ปีระกา / ราศีพิจิก,251547,"303, 317","384, 915",97
16 พฤศจิกายน 2568,วันอาทิตย์ เดือนพฤศจิกายน,แรม 12 ค่ำ เดือน 12,ปีระกา / ราศีพิจิก,596164,"402, 497","216, 735",64
1 พฤศจิกายน 2568,วันเสาร์ เดือนพฤศจิกายน,แรม 11 ค่ำ เดือน 11,ปีระกา / ราศีพิจิก,972163,"105, 782","058, 291",63
16 ตุลาคม 2568,วันพฤหัสบดี เดือนตุลาคม,แรม 10 ค่ำ เดือน 11,ปีระกา / ราศีตุลย์,481312,"241, 638","456, 981",12
1 ตุลาคม 2568,วันพุธ เดือนตุลาคม,แรม 9 ค่ำ เดือน 10,ปีระกา / ราศีกันย์,727376,"129, 390","014, 532",76
16 กันยายน 2568,วันอังคาร เดือนกันยายน,แรม 9 ค่ำ เดือน 10,ปีระกา / ราศีกันย์,356541,"114, 892","302, 755",41
1 กันยายน 2568,วันจันทร์ เดือนกันยายน,แรม 8 ค่ำ เดือน 9,ปีระกา / ราศีสิงห์,060603,"123, 456","789, 012",03
16 สิงหาคม 2568,วันเสาร์ เดือนสิงหาคม,แรม 8 ค่ำ เดือน 9,ปีระกา / ราศีสิงห์,471246,"214, 552","321, 987",46
1 สิงหาคม 2568,วันศุกร์ เดือนสิงหาคม,แรม 7 ค่ำ เดือน 8,ปีระกา / ราศีกรกฎ,361211,"883, 112","451, 663",11
16 กรกฎาคม 2568,วันพุธ เดือนกรกฎาคม,แรม 6 ค่ำ เดือน 8,ปีระกา / ราศีเมถุน,955217,"412, 903","551, 332",17
1 กรกฎาคม 2568,วันอังคาร เดือนกรกฎาคม,แรม 5 ค่ำ เดือน 7,ปีระกา / ราศีเมถุน,314562,"091, 442","112, 893",62
16 มิถุนายน 2568,วันจันทร์ เดือนมิถุนายน,แรม 6 ค่ำ เดือน 7,ปีระกา / ราศีเมถุน,401831,"552, 103","781, 230",31
1 มิถุนายน 2568,วันอาทิตย์ เดือนมิถุนายน,แรม 5 ค่ำ เดือน 6,ปีระกา / ราศีพฤษภ,512890,"331, 245","652, 109",90
16 พฤษภาคม 2568,วันศุกร์ เดือนพฤษภาคม,แรม 4 ค่ำ เดือน 6,ปีระกา / ราศีพฤษภ,132456,"712, 831","409, 512",56
2 พฤษภาคม 2568,วันศุกร์ เดือนพฤษภาคม,แรม 5 ค่ำ เดือน 5,ปีระกา / ราศีเมษ,654123,"901, 234","512, 678",23
16 เมษายน 2568,วันพุธ เดือนเมษายน,แรม 4 ค่ำ เดือน 5,ปีระกา / ราศีเมษ,789012,"112, 334","889, 001",12
1 เมษายน 2568,วันอังคาร เดือนเมษายน,แรม 3 ค่ำ เดือน 4,ปีระกา / ราศีมีน,123456,"456, 789","111, 222",56
16 มีนาคม 2568,วันอาทิตย์ เดือนมีนาคม,แรม 2 ค่ำ เดือน 4,ปีระกา / ราศีมีน,987654,"321, 654","999, 888",54
1 มีนาคม 2568,วันเสาร์ เดือนมีนาคม,แรม 1 ค่ำ เดือน 3,ปีระกา / ราศีกุมภ์,555666,"777, 888","444, 333",66
16 กุมภาพันธ์ 2568,วันอาทิตย์ เดือนกุมภาพันธ์,แรม 2 ค่ำ เดือน 3,ปีระกา / ราศีกุมภ์,246810,"135, 790","246, 802",10
1 กุมภาพันธ์ 2568,วันเสาร์ เดือนกุมภาพันธ์,แรม 3 ค่ำ เดือน 2,ปีระกา / ราศีมังกร,135790,"246, 801","135, 791",90
17 มกราคม 2568,วันศุกร์ เดือนมกราคม,แรม 3 ค่ำ เดือน 2,ปีระกา / ราศีมังกร,864209,"579, 132","864, 201",09
30 ธันวาคม 2567,วันจันทร์ เดือนธันวาคม,ขึ้น 10 ค่ำ เดือน 2,ปีวอก / ราศีธนู,844371,"294, 617","410, 650",50
16 ธันวาคม 2567,วันจันทร์ เดือนธันวาคม,แรม 11 ค่ำ เดือน 1,ปีวอก / ราศีธนู,628994,"103, 311","356, 525",25
1 ธันวาคม 2567,วันอาทิตย์ เดือนธันวาคม,แรม 11 ค่ำ เดือน 12,ปีวอก / ราศีพิจิก,097932,"046, 551","394, 762",32
16 พฤศจิกายน 2567,วันเสาร์ เดือนพฤศจิกายน,แรม 11 ค่ำ เดือน 12,ปีวอก / ราศีพิจิก,595991,"427, 868","473, 584",84
1 พฤศจิกายน 2567,วันศุกร์ เดือนพฤศจิกายน,แรม 15 ค่ำ เดือน 11,ปีวอก / ราศีพิจิก,536134,"156, 689","614, 715",15
16 ตุลาคม 2567,วันพุธ เดือนตุลาคม,แรม 14 ค่ำ เดือน 11,ปีวอก / ราศีตุลย์,482962,"096, 621","529, 611",62
1 ตุลาคม 2567,วันอังคาร เดือนตุลาคม,แรม 14 ค่ำ เดือน 10,ปีวอก / ราศีกันย์,714162,"296, 442","069, 788",62
16 กันยายน 2567,วันจันทร์ เดือนกันยายน,แรม 13 ค่ำ เดือน 10,ปีวอก / ราศีกันย์,143258,"218, 597","207, 439",58
1 กันยายน 2567,วันอาทิตย์ เดือนกันยายน,แรม 13 ค่ำ เดือน 9,ปีวอก / ราศีสิงห์,199606,"630, 893","045, 960",60
16 สิงหาคม 2567,วันศุกร์ เดือนสิงหาคม,แรม 12 ค่ำ เดือน 9,ปีวอก / ราศีสิงห์,089551,"520, 899","491, 563",51
1 สิงหาคม 2567,วันพฤหัสบดี เดือนสิงหาคม,แรม 12 ค่ำ เดือน 8,ปีวอก / ราศีกรกฎ,407205,"164, 529","382, 856",05
16 กรกฎาคม 2567,วันอังคาร เดือนกรกฎาคม,แรม 11 ค่ำ เดือน 8,ปีวอก / ราศีเมถุน,367336,"438, 936","285, 483",36
1 กรกฎาคม 2567,วันจันทร์ เดือนกรกฎาคม,แรม 11 ค่ำ เดือน 7,ปีวอก / ราศีเมถุน,433453,"410, 680","034, 115",53
16 มิถุนายน 2567,วันอาทิตย์ เดือนมิถุนายน,แรม 10 ค่ำ เดือน 7,ปีวอก / ราศีเมถุน,518504,"181, 719","461, 882",04
1 มิถุนายน 2567,วันเสาร์ เดือนมิถุนายน,แรม 10 ค่ำ เดือน 6,ปีวอก / ราศีพฤษภ,530593,"126, 769","329, 907",93
16 พฤษภาคม 2567,วันพฤหัสบดี เดือนพฤษภาคม,แรม 9 ค่ำ เดือน 6,ปีวอก / ราศีพฤษภ,205690,"177, 335","353, 620",90
2 พฤษภาคม 2567,วันพฤหัสบดี เดือนพฤษภาคม,แรม 9 ค่ำ เดือน 5,ปีวอก / ราศีเมษ,943598,"132, 283","461, 517",98
16 เมษายน 2567,วันอังคาร เดือนเมษายน,แรม 8 ค่ำ เดือน 5,ปีวอก / ราศีเมษ,943647,"193, 219","361, 747",47
1 เมษายน 2567,วันจันทร์ เดือนเมษายน,แรม 8 ค่ำ เดือน 4,ปีวอก / ราศีมีน,803148,"372, 843","677, 959",48
16 มีนาคม 2567,วันเสาร์ เดือนมีนาคม,แรม 7 ค่ำ เดือน 4,ปีวอก / ราศีมีน,997626,"124, 762","051, 937",26
1 มีนาคม 2567,วันศุกร์ เดือนมีนาคม,แรม 6 ค่ำ เดือน 3,ปีวอก / ราศีกุมภ์,984906,"449, 960","297, 627",06
16 กุมภาพันธ์ 2567,วันศุกร์ เดือนกุมภาพันธ์,แรม 7 ค่ำ เดือน 3,ปีวอก / ราศีกุมภ์,941395,"142, 608","339, 411",95
1 กุมภาพันธ์ 2567,วันพฤหัสบดี เดือนกุมภาพันธ์,แรม 7 ค่ำ เดือน 2,ปีวอก / ราศีมังกร,607063,"313, 895","629, 878",63
17 มกราคม 2567,วันพุธ เดือนมกราคม,แรม 6 ค่ำ เดือน 2,ปีวอก / ราศีมังกร,105979,"096, 680","319, 725",79
30 ธันวาคม 2566,วันเสาร์ เดือนธันวาคม,ขึ้น 13 ค่ำ เดือน 2,ปีมะเหม็ง / ราศีธนู,625734,"124, 885","210, 549",49
16 ธันวาคม 2566,วันเสาร์ เดือนธันวาคม,แรม 4 ค่ำ เดือน 1,ปีมะเหม็ง / ราศีธนู,356557,"241, 679","451, 892",85
1 ธันวาคม 2566,วันศุกร์ เดือนธันวาคม,แรม 4 ค่ำ เดือน 12,ปีมะเหม็ง / ราศีพิจิก,251148,"102, 348","512, 903",25
16 พฤศจิกายน 2566,วันพฤหัสบดี เดือนพฤศจิกายน,แรม 4 ค่ำ เดือน 12,ปีมะเหม็ง / ราศีพิจิก,557990,"321, 412","609, 811",14
1 พฤศจิกายน 2566,วันพุธ เดือนพฤศจิกายน,แรม 3 ค่ำ เดือน 11,ปีมะเหม็ง / ราศีพิจิก,743951,"119, 520","310, 781",63
16 ตุลาคม 2566,วันจันทร์ เดือนตุลาคม,แรม 2 ค่ำ เดือน 11,ปีมะเหม็ง / ราศีตุลย์,931446,"301, 882","092, 114",44
1 ตุลาคม 2566,วันอาทิตย์ เดือนตุลาคม,แรม 2 ค่ำ เดือน 10,ปีมะเหม็ง / ราศีกันย์,727202,"491, 520","611, 230",66
16 กันยายน 2566,วันเสาร์ เดือนกันยายน,แรม 2 ค่ำ เดือน 10,ปีมะเหม็ง / ราศีกันย์,320812,"712, 401","391, 204",46
1 กันยายน 2566,วันศุกร์ เดือนกันยายน,แรม 1 ค่ำ เดือน 9,ปีมะเหม็ง / ราศีสิงห์,913252,"022, 615","342, 591",50
16 สิงหาคม 2566,วันพุธ เดือนสิงหาคม,แรม 15 ค่ำ เดือน 8,ปีมะเหม็ง / ราศีสิงห์,471830,"210, 492","198, 203",11
1 สิงหาคม 2566,วันอังคาร เดือนสิงหาคม,แรม 14 ค่ำ เดือน 8,ปีมะเหม็ง / ราศีกรกฎ,892831,"511, 302","412, 099",78
16 กรกฎาคม 2566,วันอาทิตย์ เดือนกรกฎาคม,แรม 14 ค่ำ เดือน 7,ปีมะเหม็ง / ราศีเมถุน,169530,"012, 451","782, 910",62
1 กรกฎาคม 2566,วันเสาร์ เดือนกรกฎาคม,แรม 13 ค่ำ เดือน 7,ปีมะเหม็ง / ราศีเมถุน,922318,"512, 443","320, 109",35
16 มิถุนายน 2566,วันศุกร์ เดือนมิถุนายน,แรม 13 ค่ำ เดือน 6,ปีมะเหม็ง / ราศีเมถุน,984907,"109, 332","512, 803",31
1 มิถุนายน 2566,วันพฤหัสบดี เดือนมิถุนายน,แรม 12 ค่ำ เดือน 6,ปีมะเหม็ง / ราศีพฤษภ,600725,"412, 891","310, 942",24
16 พฤษภาคม 2566,วันอังคาร เดือนพฤษภาคม,แรม 12 ค่ำ เดือน 5,ปีมะเหม็ง / ราศีพฤษภ,132903,"211, 405","891, 012",99
2 พฤษภาคม 2566,วันอังคาร เดือนพฤษภาคม,แรม 13 ค่ำ เดือน 4,ปีมะเหม็ง / ราศีเมษ,990143,"001, 892","412, 501",99
16 เมษายน 2566,วันอาทิตย์ เดือนเมษายน,แรม 12 ค่ำ เดือน 4,ปีมะเหม็ง / ราศีเมษ,984062,"110, 392","412, 891",87
1 เมษายน 2566,วันเสาร์ เดือนเมษายน,แรม 11 ค่ำ เดือน 3,ปีมะเหม็ง / ราศีมีน,087063,"124, 890","412, 531",92
16 มีนาคม 2566,วันพฤหัสบดี เดือนมีนาคม,แรม 10 ค่ำ เดือน 3,ปีมะเหม็ง / ราศีมีน,025873,"301, 412","501, 892",73
1 มีนาคม 2566,วันพุธ เดือนมีนาคม,แรม 10 ค่ำ เดือน 2,ปีมะเหม็ง / ราศีกุมภ์,417652,"512, 890","310, 412",55
16 กุมภาพันธ์ 2566,วันพฤหัสบดี เดือนกุมภาพันธ์,แรม 11 ค่ำ เดือน 2,ปีมะเหม็ง / ราศีกุมภ์,962635,"891, 234","310, 501",12
1 กุมภาพันธ์ 2566,วันพุธ เดือนกุมภาพันธ์,แรม 11 ค่ำ เดือน 1,ปีมะเหม็ง / ราศีมังกร,297411,"501, 234","891, 302",92
17 มกราคม 2566,วันอังคาร เดือนมกราคม,แรม 10 ค่ำ เดือน 1,ปีมะเหม็ง / ราศีมังกร,812519,"412, 890","501, 312",47
30 ธันวาคม 2565,วันศุกร์ เดือนธันวาคม,แรม 7 ค่ำ เดือน 1,ปีขาล / ราศีธนู,157196,"201, 489","123, 890",58
16 ธันวาคม 2565,วันศุกร์ เดือนธันวาคม,แรม 8 ค่ำ เดือน 12,ปีขาล / ราศีธนู,845093,"123, 490","512, 890",14
1 ธันวาคม 2565,วันพฤหัสบดี เดือนธันวาคม,แรม 8 ค่ำ เดือน 11,ปีขาล / ราศีพิจิก,375805,"120, 491","310, 412",08
16 พฤศจิกายน 2565,วันพุธ เดือนพฤศจิกายน,แรม 8 ค่ำ เดือน 11,ปีขาล / ราศีพิจิก,121789,"101, 234","512, 301",64
1 พฤศจิกายน 2565,วันอังคาร เดือนพฤศจิกายน,แรม 7 ค่ำ เดือน 10,ปีขาล / ราศีพิจิก,913770,"301, 412","501, 890",42
16 ตุลาคม 2565,วันอาทิตย์ เดือนตุลาคม,แรม 6 ค่ำ เดือน 10,ปีขาล / ราศีตุลย์,613106,"412, 890","310, 501",15
1 ตุลาคม 2565,วันเสาร์ เดือนตุลาคม,แรม 6 ค่ำ เดือน 9,ปีขาล / ราศีกันย์,484669,"123, 490","512, 301",50
16 กันยายน 2565,วันศุกร์ เดือนกันยายน,แรม 6 ค่ำ เดือน 9,ปีขาล / ราศีกันย์,943703,"412, 890","310, 501",75
1 กันยายน 2565,วันพฤหัสบดี เดือนกันยายน,แรม 5 ค่ำ เดือน 8,ปีขาล / ราศีสิงห์,361807,"123, 490","512, 301",99
16 สิงหาคม 2565,วันอังคาร เดือนสิงหาคม,แรม 4 ค่ำ เดือน 8,ปีขาล / ราศีสิงห์,331583,"101, 234","501, 312",42
1 สิงหาคม 2565,วันจันทร์ เดือนสิงหาคม,แรม 4 ค่ำ เดือน 7,ปีขาล / ราศีกรกฎ,436594,"201, 489","123, 890",14
16 กรกฎาคม 2565,วันเสาร์ เดือนกรกฎาคม,แรม 3 ค่ำ เดือน 7,ปีขาล / ราศีเมถุน,890422,"301, 412","512, 890",70
1 กรกฎาคม 2565,วันศุกร์ เดือนกรกฎาคม,แรม 3 ค่ำ เดือน 6,ปีขาล / ราศีเมถุน,981417,"123, 490","310, 501",07
16 มิถุนายน 2565,วันพฤหัสบดี เดือนมิถุนายน,แรม 2 ค่ำ เดือน 6,ปีขาล / ราศีเมถุน,361807,"101, 234","501, 312",92
1 มิถุนายน 2565,วันพุธ เดือนมิถุนายน,แรม 2 ค่ำ เดือน 5,ปีขาล / ราศีพฤษภ,319196,"201, 489","123, 890",02
16 พฤษภาคม 2565,วันจันทร์ เดือนพฤษภาคม,แรม 1 ค่ำ เดือน 5,ปีขาล / ราศีพฤษภ,158505,"301, 412","512, 890",32
2 พฤษภาคม 2565,วันจันทร์ เดือนพฤษภาคม,แรม 2 ค่ำ เดือน 4,ปีขาล / ราศีเมษ,658642,"123, 490","310, 501",09
16 เมษายน 2565,วันเสาร์ เดือนเมษายน,แรม 1 ค่ำ เดือน 4,ปีขาล / ราศีเมษ,395919,"101, 234","501, 312",58
1 เมษายน 2565,วันศุกร์ เดือนเมษายน,แรม 15 ค่ำ เดือน 3,ปีขาล / ราศีมีน,970256,"201, 489","123, 890",38
16 มีนาคม 2565,วันพุธ เดือนมีนาคม,แรม 14 ค่ำ เดือน 3,ปีขาล / ราศีมีน,737867,"301, 412","512, 890",03
1 มีนาคม 2565,วันอังคาร เดือนมีนาคม,แรม 13 ค่ำ เดือน 2,ปีขาล / ราศีกุมภ์,061905,"123, 490","310, 501",07
16 กุมภาพันธ์ 2565,วันพุธ เดือนกุมภาพันธ์,แรม 15 ค่ำ เดือน 2,ปีขาล / ราศีกุมภ์,098597,"101, 234","501, 312",57
1 กุมภาพันธ์ 2565,วันอังคาร เดือนกุมภาพันธ์,แรม 15 ค่ำ เดือน 1,ปีขาล / ราศีมังกร,944308,"201, 489","123, 890",30
17 มกราคม 2565,วันจันทร์ เดือนมกราคม,แรม 14 ค่ำ เดือน 1,ปีขาล / ราศีมังกร,880159,"301, 412","512, 890",92
30 ธันวาคม 2564,วันพฤหัสบดี เดือนธันวาคม,แรม 11 ค่ำ เดือน 1,ปีฉลู / ราศีธนู,819068,"123, 490","310, 501",36
16 ธันวาคม 2564,วันพฤหัสบดี เดือนธันวาคม,แรม 12 ค่ำ เดือน 12,ปีฉลู / ราศีธนู,639235,"101, 234","501, 312",83
1 ธันวาคม 2564,วันพุธ เดือนธันวาคม,แรม 12 ค่ำ เดือน 11,ปีฉลู / ราศีพิจิก,245117,"201, 489","123, 890",55
16 พฤศจิกายน 2564,วันอังคาร เดือนพฤศจิกายน,แรม 12 ค่ำ เดือน 11,ปีฉลู / ราศีพิจิก,032761,"301, 412","512, 890",57
1 พฤศจิกายน 2564,วันจันทร์ เดือนพฤศจิกายน,แรม 11 ค่ำ เดือน 10,ปีฉลู / ราศีพิจิก,045037,"123, 490","310, 501",30
16 ตุลาคม 2564,วันเสาร์ เดือนตุลาคม,แรม 10 ค่ำ เดือน 10,ปีฉลู / ราศีตุลย์,386372,"101, 234","501, 312",38
1 ตุลาคม 2564,วันศุกร์ เดือนตุลาคม,แรม 10 ค่ำ เดือน 9,ปีฉลู / ราศีกันย์,578171,"201, 489","123, 890",83
16 กันยายน 2564,วันพฤหัสบดี เดือนกันยายน,แรม 9 ค่ำ เดือน 9,ปีฉลู / ราศีกันย์,075117,"301, 412","512, 890",38
1 กันยายน 2564,วันพุธ เดือนกันยายน,แรม 9 ค่ำ เดือน 8,ปีฉลู / ราศีสิงห์,114475,"123, 490","310, 501",79
16 สิงหาคม 2564,วันจันทร์ เดือนสิงหาคม,แรม 8 ค่ำ เดือน 8,ปีฉลู / ราศีสิงห์,046750,"101, 234","501, 312",23
1 สิงหาคม 2564,วันอาทิตย์ เดือนสิงหาคม,แรม 8 ค่ำ เดือน 7,ปีฉลู / ราศีกรกฎ,910261,"201, 489","123, 890",69
16 กรกฎาคม 2564,วันศุกร์ เดือนกรกฎาคม,แรม 7 ค่ำ เดือน 7,ปีฉลู / ราศีเมถุน,556725,"301, 412","512, 890",14
1 กรกฎาคม 2564,วันพฤหัสบดี เดือนกรกฎาคม,แรม 7 ค่ำ เดือน 6,ปีฉลู / ราศีเมถุน,713517,"123, 490","310, 501",92
16 มิถุนายน 2564,วันพุธ เดือนมิถุนายน,แรม 6 ค่ำ เดือน 6,ปีฉลู / ราศีเมถุน,691179,"101, 234","501, 312",18
1 มิถุนายน 2564,วันอังคาร เดือนมิถุนายน,แรม 6 ค่ำ เดือน 5,ปีฉลู / ราศีพฤษภ,359327,"201, 489","123, 890",85
16 พฤษภาคม 2564,วันอาทิตย์ เดือนพฤษภาคม,แรม 5 ค่ำ เดือน 5,ปีฉลู / ราศีพฤษภ,684579,"301, 412","512, 890",14
2 พฤษภาคม 2564,วันอาทิตย์ เดือนพฤษภาคม,แรม 6 ค่ำ เดือน 4,ปีฉลู / ราศีเมษ,501272,"123, 490","310, 501",18
16 เมษายน 2564,วันศุกร์ เดือนเมษายน,แรม 5 ค่ำ เดือน 4,ปีฉลู / ราศีเมษ,100787,"101, 234","501, 312",56
1 เมษายน 2564,วันพฤหัสบดี เดือนเมษายน,แรม 4 ค่ำ เดือน 3,ปีฉลู / ราศีมีน,472270,"201, 489","123, 890",05
16 มีนาคม 2564,วันอังคาร เดือนมีนาคม,แรม 3 ค่ำ เดือน 3,ปีฉลู / ราศีมีน,890422,"301, 412","512, 890",19
1 มีนาคม 2564,วันจันทร์ เดือนมีนาคม,แรม 2 ค่ำ เดือน 2,ปีฉลู / ราศีกุมภ์,835538,"123, 490","310, 501",73
16 กุมภาพันธ์ 2564,วันอังคาร เดือนกุมภาพันธ์,แรม 4 ค่ำ เดือน 2,ปีฉลู / ราศีกุมภ์,424603,"101, 234","501, 312",39
1 กุมภาพันธ์ 2564,วันจันทร์ เดือนกุมภาพันธ์,แรม 4 ค่ำ เดือน 1,ปีฉลู / ราศีมังกร,913252,"201, 489","123, 890",15
17 มกราคม 2564,วันอาทิตย์ เดือนมกราคม,แรม 4 ค่ำ เดือน 1,ปีฉลู / ราศีมังกร,384395,"301, 412","512, 890",15
30 ธันวาคม 2563,วันพุธ เดือนธันวาคม,แรม 1 ค่ำ เดือน 2,ปีชวด / ราศีธนู,803019,"123, 490","310, 501",24
16 ธันวาคม 2563,วันพุธ เดือนธันวาคม,แรม 2 ค่ำ เดือน 1,ปีชวด / ราศีธนู,201303,"101, 234","501, 312",10
1 ธันวาคม 2563,วันอังคาร เดือนธันวาคม,แรม 2 ค่ำ เดือน 12,ปีชวด / ราศีพิจิก,100994,"201, 489","123, 890",81
16 พฤศจิกายน 2563,วันจันทร์ เดือนพฤศจิกายน,แรม 2 ค่ำ เดือน 12,ปีชวด / ราศีพิจิก,972661,"301, 412","512, 890",46
1 พฤศจิกายน 2563,วันอาทิตย์ เดือนพฤศจิกายน,แรม 1 ค่ำ เดือน 11,ปีชวด / ราศีพิจิก,506404,"123, 490","310, 501",40
16 ตุลาคม 2563,วันศุกร์ เดือนตุลาคม,แรม 14 ค่ำ เดือน 10,ปีชวด / ราศีตุลย์,286051,"101, 234","501, 312",38
1 ตุลาคม 2563,วันพฤหัสบดี เดือนตุลาคม,แรม 14 ค่ำ เดือน 9,ปีชวด / ราศีกันย์,837893,"201, 489","123, 890",59
16 กันยายน 2563,วันพุธ เดือนกันยายน,แรม 14 ค่ำ เดือน 9,ปีชวด / ราศีกันย์,244083,"301, 412","512, 890",57
1 กันยายน 2563,วันอังคาร เดือนกันยายน,แรม 13 ค่ำ เดือน 8,ปีชวด / ราศีสิงห์,997981,"123, 490","310, 501",83
16 สิงหาคม 2563,วันอาทิตย์ เดือนสิงหาคม,แรม 12 ค่ำ เดือน 8,ปีชวด / ราศีสิงห์,945811,"101, 234","501, 312",88
1 สิงหาคม 2563,วันเสาร์ เดือนสิงหาคม,แรม 12 ค่ำ เดือน 7,ปีชวด / ราศีกรกฎ,569391,"201, 489","123, 890",92
16 กรกฎาคม 2563,วันพฤหัสบดี เดือนกรกฎาคม,แรม 11 ค่ำ เดือน 7,ปีชวด / ราศีเมถุน,873286,"301, 412","512, 890",53
1 กรกฎาคม 2563,วันพุธ เดือนกรกฎาคม,แรม 11 ค่ำ เดือน 6,ปีชวด / ราศีเมถุน,347258,"123, 490","310, 501",83
16 มิถุนายน 2563,วันอังคาร เดือนมิถุนายน,แรม 10 ค่ำ เดือน 6,ปีชวด / ราศีเมถุน,897272,"101, 234","501, 312",09
1 มิถุนายน 2563,วันจันทร์ เดือนมิถุนายน,แรม 10 ค่ำ เดือน 5,ปีชวด / ราศีพฤษภ,098597,"201, 489","123, 890",57
16 พฤษภาคม 2563,วันเสาร์ เดือนพฤษภาคม,แรม 9 ค่ำ เดือน 5,ปีชวด / ราศีพฤษภ,075758,"301, 412","512, 890",98
2 พฤษภาคม 2563,วันเสาร์ เดือนพฤษภาคม,แรม 10 ค่ำ เดือน 4,ปีชวด / ราศีเมษ,526201,"123, 490","310, 501",83
16 เมษายน 2563,วันพฤหัสบดี เดือนเมษายน,แรม 9 ค่ำ เดือน 4,ปีชวด / ราศีเมษ,472714,"101, 234","501, 312",52
1 มีนาคม 2563,วันอาทิตย์ เดือนมีนาคม,แรม 7 ค่ำ เดือน 3,ปีชวด / ราศีกุมภ์,875938,"201, 489","123, 890",98
16 กุมภาพันธ์ 2563,วันอาทิตย์ เดือนกุมภาพันธ์,แรม 9 ค่ำ เดือน 3,ปีชวด / ราศีกุมภ์,781403,"301, 412","512, 890",94
1 กุมภาพันธ์ 2563,วันเสาร์ เดือนกุมภาพันธ์,แรม 8 ค่ำ เดือน 2,ปีชวด / ราศีมังกร,589726,"123, 490","310, 501",32
17 มกราคม 2563,วันศุกร์ เดือนมกราคม,แรม 8 ค่ำ เดือน 2,ปีชวด / ราศีมังกร,491774,"101, 234","501, 312",68
30 ธันวาคม 2562,วันจันทร์ เดือนธันวาคม,แรม 5 ค่ำ เดือน 1,ปีกุน / ราศีธนู,510541,"201, 489","123, 890",81
16 ธันวาคม 2562,วันจันทร์ เดือนธันวาคม,แรม 6 ค่ำ เดือน 1,ปีกุน / ราศีธนู,529924,"301, 412","512, 890",32
1 ธันวาคม 2562,วันอาทิตย์ เดือนธันวาคม,แรม 5 ค่ำ เดือน 12,ปีกุน / ราศีพิจิก,453522,"123, 490","310, 501",81
